lane	id	start	end	depthm	depthmi	desc	quote
0	An Arctic Timeline	2018	2020	1	1	Explore critical moments in climate history, human exploration, and culture by scrolling down the ice core.	Explore critical moments in climate history, human exploration, and culture by scrolling down the ice core. Time is shown true to scale on the left.
0	Continued Greenland ice loss	2012	2017	1	1	If fully melted, the Greenland ice sheet would raise global sea level by about 24 feet. Scientists agree that human-induced climate change is accelerating Greenland ice loss, which carries major implications for coastal regions across the world. Still, a complex array of feedback systems that contribute to ice loss remain poorly understood, making it difficult to accurately predict future melt rates. Based on analyses of satellite data and direct observations, scientists estimate that nearly 4000 billion metric tons of ice have been lost from Greenland since 2002 – almost enough to fill Lake Michigan – but the rate of ice loss could increase dramatically if we don’t take action to fight climate change. 	If fully melted, the Greenland ice sheet would raise global sea level by about 24 feet.
1	Contemporary Inuit Art	2000	2011	1	1	Recent drawings and prints by Inuit artists reflect a broad spectrum of themes, sometimes retaining elements of traditional subject matter or mythology, while also reflecting the challenges faced by a community whose way of life has been radically altered over just a few generations. Later work by the celebrated printmaker Kananginak Pootoogook (1935-2010) reflected the artist’s memories of camping and hunting scenes, while the work of his niece Shuvinai Ashoona (1961–) depicts life in the permanent settlement of Cape Dorset: scenes touch by both fantasy and alienation. These bodies of work feel deeply personal, offering rare glances into a society that can be traced back over a thousand years.	Recent drawings and prints by Inuit artists reflect a broad spectrum of themes, sometimes reflecting the challenges faced by a community whose way of life has been radically altered over just a few generations.
2	Initiation of GISP2 Ice Core Drilling	1988	1993	0	0.00	The second Greenland Ice Sheet Project (GISP2) ice core, shown in 88 Cores, is a highly accurate climate record that is nearly continuous for 110,000 years. Like rings of a tree, each layer of an ice core corresponds to a different year in Earth’s history. Scientists can analyze ice properties like grain size and gas concentration to explore past climate conditions including air temperature, pollution, and rate of snowfall. Drilling in central Greenland for GISP2 (the Greenland Ice Sheet) was initiated in 1988 and was completed five years later in 1993, funded by the U.S. National Science Foundation.	Like rings of a tree, each layer of an ice core corresponds to a different year in Earth’s history.
2	Reaching the North pole	1909	1914	-34.27	-0.021	Relying heavily on Inuit guides, American explorers Frederick Cook and Robert E. Peary raced to reach the North Pole in the early twentieth century. Both emerged in 1909–within several days of each other–to declare success. Their claims are disputed, as neither produced sufficient evidence to verify his location at precisely 90˚N. To this day, the first person to stand at the North Pole remains unclear. Any attempt to reach the North Pole is impeded by the fact that, unlike the South Pole, no landmass lies over it. Instead, the North Pole is located on drifting sea ice, constantly in motion. Despite our cultural fascination with it, the North Pole can be understood in essence as a fabrication of geometry. As one nineteenth century explorer wrote, “the pole was ascertained to be the intersection of lines in a point, of which nothing was to be seen in reality.”	Relying heavily on Inuit guides, American explorers Frederick Cook and Robert E. Peary raced to reach the North Pole in the early twentieth century.
0	Widespread Greenland ice melt event	1889	1894	-40.53	-0.025	By studying the layers of a Greenland ice core, scientists determined that the Greenland ice sheet experienced an extreme amount of surface melting in 1889. They identified a layer in the core from that year with nearly bubble-free ice – a signature of snow that melted and has later refrozen. In addition, they found evidence for a possible cause of the melt event: a high concentration of black carbon, which decreases the reflectivity of ice and was probably the result of forest fires raging across Europe at the time. Similar conditions were identified in ice core layers from 2012, the worst melt year on record. Climate change is known to increase the frequency of both warm weather and forest fires, which contributed to these melt events.	Scientists identified a layer in the core from 1889 with nearly bubble-free ice – a signature of snow that melted and has later refrozen.
1	Landscape painting	1850	1885	-50	-0.031	In the 1800s, U.S. painters were defining the role of landscape as an integral part of the country’s national identity. Painters like Thomas Cole and Frederic Edwin Church of the Hudson Valley School depicted natural scenery with awe and religious conviction, in some sense championing the environmental movement. In 1859, Church embarked on an expedition to the North Atlantic to sketch icebergs; the resulting paintings, first shown in 1861, are highly dramatic and reflect the sense of wonder – perhaps even fear – experienced by Church as he explored these glaciated seascapes.	In the 1800s, U.S. painters were defining the role of landscape as an integral part of the country’s national identity.
1	Frankenstein is published	1818	1823	-62.42	-0.039	Mary Shelley wrote the first science fiction novel, Frankenstein, or The Modern Prometheus, as a result of a ghost story-writing competition amongst her and her literary friends. Fascinated with popular science at the time, Shelley crafted the now-classic cautionary tale of the radical scientist Victor Frankenstein who bends the laws of nature to create his monster through electric reanimation. The Arctic landscape serves here as a mysterious and merciless backdrop to Victor’s story where both the creator and his creation meet their demise. Frankenstein defined a new genre of writing that is so popular today - one in which authors can play out the hypotheses of scientific speculation to the benefit or detriment of humankind. 	The Arctic landscape serves as a mysterious and merciless backdrop to Victor’s story where both the creator and his creation meet their demise.
2	Inuit wooden maps	1800	1816	-67	-0.042	These tactile, wooden maps were carved by an Inuit man named Kunit, who sold them to the Danish explorer Gustav Holm in the late 1800s. Very few of these maps exist today, yet they are a fascinating example of indigenous design that is both functional and beautiful. The maps can be used to navigate coastal routes near Kunit’s homeland in southeast Greenland, and they float if dropped in water. The wooden maps are a unique cultural object reflective of the Inuit people’s mastery of navigation and boating.	These tactile maps are a unique cultural object reflective of the Inuit people’s mastery of navigation and boating.
2	Search for the Northwest Passage	1650	1800	-100	-0.062	Particularly influential in the European imagination of the Arctic was the theory of an ice-free polar sea. By the middle of the nineteenth century, the ancient Greek myth of Hyperborea–describing a warm, polar ocean with no ice and eternal sunlight– had reconstructed itself as the scientific hypothesis of the Northwest Passage. Faith in the existence of the Passage was driven in large part by an appetite for a commercially lucrative trade route between Western Europe and Asia; the desire to discover it inspired much of early European exploration of coastal North America. More recently, rising temperatures and vanishing polar sea ice suggest that new trade routes will begin to open up across the Arctic, belatedly fulfilling the promise of the Northwest Passage.	Faith in the existence of the Passage was driven in large part by an appetite for a commercially lucrative trade route between Western Europe and Asia.
